"Time","T0129",""
"and","500.00",""
"Date","Dir. Vento (�)",""
"","Mean","Qual"
00:00:00 09/03/2013,          31,      1
00:00:00 10/03/2013,         356,      1
00:00:00 11/03/2013,           0,      1
00:00:00 12/03/2013,          90,      1
00:00:00 13/03/2013,          99,      1
00:00:00 14/03/2013,          28,      1
00:00:00 15/03/2013,          38,      1
00:00:00 16/03/2013,         199,      1
00:00:00 17/03/2013,         155,      1
00:00:00 18/03/2013,         328,      1
00:00:00 19/03/2013,         336,      1
00:00:00 20/03/2013,          56,      1
00:00:00 21/03/2013,           7,      1
00:00:00 22/03/2013,         359,      1
00:00:00 23/03/2013,         348,      1
00:00:00 24/03/2013,         359,      1
00:00:00 25/03/2013,         289,      1
00:00:00 26/03/2013,         163,      1
00:00:00 27/03/2013,         329,      1
00:00:00 28/03/2013,          58,      1
00:00:00 29/03/2013,         286,      1
00:00:00 30/03/2013,         350,      1
00:00:00 31/03/2013,         341,      1
00:00:00 01/04/2013,         337,      1
00:00:00 02/04/2013,         327,      1
00:00:00 03/04/2013,         301,      1
00:00:00 04/04/2013,         153,      1
00:00:00 05/04/2013,          74,      1
00:00:00 06/04/2013,         124,      1
00:00:00 07/04/2013,          19,      1
00:00:00 08/04/2013,          62,      1
00:00:00 09/04/2013,         179,      1
00:00:00 10/04/2013,         312,      1
00:00:00 11/04/2013,          55,      1
00:00:00 12/04/2013,          40,      1
00:00:00 13/04/2013,         352,      1
00:00:00 14/04/2013,         352,      1
00:00:00 15/04/2013,         343,      1
00:00:00 16/04/2013,          29,      1
00:00:00 17/04/2013,         359,      1
00:00:00 18/04/2013,           1,      1
00:00:00 19/04/2013,          99,      1
00:00:00 20/04/2013,         328,      1
00:00:00 21/04/2013,         351,      1
00:00:00 22/04/2013,          39,      1
00:00:00 23/04/2013,         122,      1
00:00:00 24/04/2013,          14,      1
00:00:00 25/04/2013,         349,      1
00:00:00 26/04/2013,         318,      1
00:00:00 27/04/2013,          71,      1
00:00:00 28/04/2013,         313,      1
00:00:00 29/04/2013,         344,      1
00:00:00 30/04/2013,          63,      1
00:00:00 01/05/2013,         334,      1
00:00:00 02/05/2013,         318,      1
00:00:00 03/05/2013,           5,      1
00:00:00 04/05/2013,           2,      1
00:00:00 05/05/2013,          79,      1
00:00:00 06/05/2013,           1,      1
00:00:00 07/05/2013,          81,      1
00:00:00 08/05/2013,          53,      1
00:00:00 09/05/2013,           8,      1
00:00:00 10/05/2013,         341,      1
00:00:00 11/05/2013,         320,      1
00:00:00 12/05/2013,         330,      1
00:00:00 13/05/2013,         336,      1
00:00:00 14/05/2013,          14,      1
00:00:00 15/05/2013,          94,      1
00:00:00 16/05/2013,         327,      1
00:00:00 17/05/2013,         332,      1
00:00:00 18/05/2013,          82,      1
00:00:00 19/05/2013,           3,      1
00:00:00 20/05/2013,         109,      1
00:00:00 21/05/2013,          97,      1
00:00:00 22/05/2013,         318,      1
00:00:00 23/05/2013,         299,      1
00:00:00 24/05/2013,          37,      1
00:00:00 25/05/2013,          93,      1
00:00:00 26/05/2013,         298,      1
00:00:00 27/05/2013,         136,      1
00:00:00 28/05/2013,         131,      1
00:00:00 29/05/2013,          13,      1
00:00:00 30/05/2013,         351,      1
00:00:00 31/05/2013,          12,      1
00:00:00 01/06/2013,         312,      1
00:00:00 02/06/2013,         330,      1
00:00:00 03/06/2013,         315,      1
00:00:00 04/06/2013,          51,      1
00:00:00 05/06/2013,          98,      1
00:00:00 06/06/2013,         170,      1
00:00:00 07/06/2013,          55,      1
00:00:00 08/06/2013,          72,      1
00:00:00 09/06/2013,          24,      1
00:00:00 10/06/2013,         310,      1
00:00:00 11/06/2013,         347,      1
00:00:00 12/06/2013,         351,      1
00:00:00 13/06/2013,         358,      1
00:00:00 14/06/2013,         110,      1
00:00:00 15/06/2013,          12,      1
00:00:00 16/06/2013,           9,      1
00:00:00 17/06/2013,          57,      1
00:00:00 18/06/2013,          66,      1
00:00:00 19/06/2013,          57,      1
00:00:00 20/06/2013,          61,      1
00:00:00 21/06/2013,         124,      1
00:00:00 22/06/2013,          99,      1
00:00:00 23/06/2013,          30,      1
00:00:00 24/06/2013,         307,      1
00:00:00 25/06/2013,         328,      1
00:00:00 26/06/2013,         346,      1
