"Time","T0129",""
"and","500.00",""
"Date","Dir. Vento (�)",""
"","Mean","Qual"
00:00:00 19/09/2014,          35,      1
00:00:00 20/09/2014,         331,      1
00:00:00 21/09/2014,         328,      1
00:00:00 22/09/2014,         344,      1
00:00:00 23/09/2014,           1,      1
00:00:00 24/09/2014,          27,      1
00:00:00 25/09/2014,          30,      1
00:00:00 26/09/2014,           5,      1
00:00:00 27/09/2014,          16,      1
00:00:00 28/09/2014,          36,      1
00:00:00 29/09/2014,          27,      1
00:00:00 30/09/2014,         109,      1
00:00:00 01/10/2014,          86,      1
00:00:00 02/10/2014,          12,      1
00:00:00 03/10/2014,           8,      1
00:00:00 04/10/2014,          56,      1
00:00:00 05/10/2014,          66,      1
00:00:00 06/10/2014,          87,      1
00:00:00 07/10/2014,          95,      1
00:00:00 08/10/2014,         285,      1
00:00:00 09/10/2014,           3,      1
00:00:00 10/10/2014,          14,      1
00:00:00 11/10/2014,          24,      1
00:00:00 12/10/2014,         334,      1
00:00:00 13/10/2014,           2,      1
00:00:00 14/10/2014,          91,      1
00:00:00 15/10/2014,          11,      1
00:00:00 16/10/2014,          39,      1
00:00:00 17/10/2014,          17,      1
00:00:00 18/10/2014,           3,      1
00:00:00 19/10/2014,         331,      1
00:00:00 20/10/2014,         340,      1
00:00:00 21/10/2014,         354,      1
00:00:00 22/10/2014,          26,      1
00:00:00 23/10/2014,         347,      1
00:00:00 24/10/2014,         336,      1
00:00:00 25/10/2014,         359,      1
00:00:00 26/10/2014,          25,      1
00:00:00 27/10/2014,         354,      1
00:00:00 28/10/2014,          42,      1
00:00:00 29/10/2014,          25,      1
00:00:00 30/10/2014,          28,      1
00:00:00 31/10/2014,          24,      1
00:00:00 01/11/2014,           5,      1
00:00:00 02/11/2014,           8,      1
00:00:00 03/11/2014,          36,      1
00:00:00 04/11/2014,          91,      1
00:00:00 05/11/2014,         308,      1
00:00:00 06/11/2014,         316,      1
00:00:00 07/11/2014,         329,      1
00:00:00 08/11/2014,         352,      1
00:00:00 09/11/2014,         336,      1
00:00:00 10/11/2014,         314,      1
00:00:00 11/11/2014,         323,      1
00:00:00 12/11/2014,         326,      1
00:00:00 13/11/2014,         337,      1
00:00:00 14/11/2014,         348,      1
00:00:00 15/11/2014,         328,      1
00:00:00 16/11/2014,         350,      1
00:00:00 17/11/2014,         345,      1
00:00:00 18/11/2014,         346,      1
00:00:00 19/11/2014,           1,      1
00:00:00 20/11/2014,           4,      1
00:00:00 21/11/2014,          24,      1
00:00:00 22/11/2014,          15,      1
00:00:00 23/11/2014,           2,      1
00:00:00 24/11/2014,         353,      1
00:00:00 25/11/2014,          46,      1
00:00:00 26/11/2014,         129,      1
00:00:00 27/11/2014,         160,      1
00:00:00 28/11/2014,         317,      1
00:00:00 29/11/2014,         334,      1
00:00:00 30/11/2014,         332,      1
00:00:00 01/12/2014,         332,      1
00:00:00 02/12/2014,         322,      1
00:00:00 03/12/2014,         317,      1
00:00:00 04/12/2014,         319,      1
00:00:00 05/12/2014,         335,      1
00:00:00 06/12/2014,         342,      1
00:00:00 07/12/2014,         117,      1
00:00:00 08/12/2014,          56,      1
00:00:00 09/12/2014,         324,      1
00:00:00 10/12/2014,           4,      1
00:00:00 11/12/2014,           9,      1
00:00:00 12/12/2014,           2,      1
00:00:00 13/12/2014,         341,      1
00:00:00 14/12/2014,         331,      1
00:00:00 15/12/2014,         316,      1
00:00:00 16/12/2014,         322,      1
00:00:00 17/12/2014,          37,      1
00:00:00 18/12/2014,         342,      1
00:00:00 19/12/2014,          30,      1
00:00:00 20/12/2014,          48,      1
00:00:00 21/12/2014,          63,      1
00:00:00 22/12/2014,         344,      1
00:00:00 23/12/2014,          35,      1
00:00:00 24/12/2014,         335,      1
00:00:00 25/12/2014,          10,      1
00:00:00 26/12/2014,         360,      1
00:00:00 27/12/2014,         349,      1
00:00:00 28/12/2014,          26,      1
00:00:00 29/12/2014,          25,      1
00:00:00 30/12/2014,         117,      1
00:00:00 31/12/2014,          82,      1
00:00:00 01/01/2015,          16,      1
00:00:00 02/01/2015,         350,      1
00:00:00 03/01/2015,          29,      1
00:00:00 04/01/2015,           7,      1
00:00:00 05/01/2015,         340,      1
00:00:00 06/01/2015,          49,      1
00:00:00 07/01/2015,         353,      1
00:00:00 08/01/2015,         351,      1
00:00:00 09/01/2015,          13,      1
00:00:00 10/01/2015,         101,      1
00:00:00 11/01/2015,          46,      1
00:00:00 12/01/2015,           7,      1
00:00:00 13/01/2015,          33,      1
00:00:00 14/01/2015,         355,      1
00:00:00 15/01/2015,         353,      1
00:00:00 16/01/2015,         315,      1
00:00:00 17/01/2015,         341,      1
00:00:00 18/01/2015,         351,      1
00:00:00 19/01/2015,          20,      1
00:00:00 20/01/2015,          20,      1
00:00:00 21/01/2015,         333,      1
00:00:00 22/01/2015,         329,      1
00:00:00 23/01/2015,         351,      1
00:00:00 24/01/2015,         316,      1
00:00:00 25/01/2015,          98,      1
00:00:00 26/01/2015,         341,      1
00:00:00 27/01/2015,         358,      1
00:00:00 28/01/2015,           1,      1
00:00:00 29/01/2015,           8,      1
00:00:00 30/01/2015,         332,      1
00:00:00 31/01/2015,         355,      1
00:00:00 01/02/2015,         353,      1
00:00:00 02/02/2015,          11,      1
00:00:00 03/02/2015,         341,      1
00:00:00 04/02/2015,         339,      1
00:00:00 05/02/2015,         348,      1
00:00:00 06/02/2015,          45,      1
00:00:00 07/02/2015,         170,      1
00:00:00 08/02/2015,          10,      1
00:00:00 09/02/2015,         105,      1
00:00:00 10/02/2015,          11,      1
00:00:00 11/02/2015,          28,      1
00:00:00 12/02/2015,          27,      1
00:00:00 13/02/2015,          68,      1
00:00:00 14/02/2015,         357,      1
00:00:00 15/02/2015,         325,      1
00:00:00 16/02/2015,          58,      1
00:00:00 17/02/2015,          27,      1
00:00:00 18/02/2015,          10,      1
00:00:00 19/02/2015,           1,      1
00:00:00 20/02/2015,          16,      1
00:00:00 21/02/2015,          43,      1
00:00:00 22/02/2015,         324,      1
00:00:00 23/02/2015,         359,      1
00:00:00 24/02/2015,          11,      1
00:00:00 25/02/2015,         104,      1
00:00:00 26/02/2015,         346,      1
00:00:00 27/02/2015,         335,      1
00:00:00 28/02/2015,           7,      1
00:00:00 01/03/2015,          56,      1
00:00:00 02/03/2015,          35,      1
00:00:00 03/03/2015,          10,      1
00:00:00 04/03/2015,         347,      1
00:00:00 05/03/2015,         329,      1
00:00:00 06/03/2015,         356,      1
00:00:00 07/03/2015,          27,      1
00:00:00 08/03/2015,          32,      1
00:00:00 09/03/2015,         358,      1
00:00:00 10/03/2015,         359,      1
00:00:00 11/03/2015,         353,      1
00:00:00 12/03/2015,         338,      1
00:00:00 13/03/2015,          77,      1
00:00:00 14/03/2015,          12,      1
00:00:00 15/03/2015,         112,      1
00:00:00 16/03/2015,          42,      1
00:00:00 17/03/2015,         357,      1
00:00:00 18/03/2015,         359,      1
00:00:00 19/03/2015,          21,      1
00:00:00 20/03/2015,         359,      1
00:00:00 21/03/2015,           1,      1
00:00:00 22/03/2015,         340,      1
00:00:00 23/03/2015,           4,      1
00:00:00 24/03/2015,          83,      1
00:00:00 25/03/2015,          29,      1
00:00:00 26/03/2015,          53,      1
00:00:00 27/03/2015,          33,      1
00:00:00 28/03/2015,         321,      1
00:00:00 29/03/2015,          28,      1
00:00:00 30/03/2015,         352,      1
00:00:00 31/03/2015,           8,      1
00:00:00 01/04/2015,           0,      1
00:00:00 02/04/2015,         334,      1
00:00:00 03/04/2015,         260,      1
00:00:00 04/04/2015,         354,      1
00:00:00 05/04/2015,         325,      1
00:00:00 06/04/2015,         338,      1
00:00:00 07/04/2015,         321,      1
00:00:00 08/04/2015,         335,      1
00:00:00 09/04/2015,          18,      1
00:00:00 10/04/2015,          14,      1
00:00:00 11/04/2015,          15,      1
00:00:00 12/04/2015,           4,      1
00:00:00 13/04/2015,         352,      1
00:00:00 14/04/2015,          18,      1
00:00:00 15/04/2015,           2,      1
00:00:00 16/04/2015,         353,      1
00:00:00 17/04/2015,          35,      1
00:00:00 18/04/2015,         111,      1
00:00:00 19/04/2015,          23,      1
00:00:00 20/04/2015,         355,      1
00:00:00 21/04/2015,         331,      1
00:00:00 22/04/2015,          34,      1
00:00:00 23/04/2015,         109,      1
00:00:00 24/04/2015,          89,      1
00:00:00 25/04/2015,          29,      1
00:00:00 26/04/2015,         344,      1
00:00:00 27/04/2015,         330,      1
00:00:00 28/04/2015,         321,      1
00:00:00 29/04/2015,         278,      1
00:00:00 30/04/2015,         114,      1
00:00:00 01/05/2015,          79,      1
00:00:00 02/05/2015,         301,      1
00:00:00 03/05/2015,         312,      1
00:00:00 04/05/2015,          24,      1
00:00:00 05/05/2015,          22,      1
00:00:00 06/05/2015,          46,      1
00:00:00 07/05/2015,          48,      1
00:00:00 08/05/2015,         132,      1
00:00:00 09/05/2015,         333,      1
00:00:00 10/05/2015,         346,      1
00:00:00 11/05/2015,          11,      1
00:00:00 12/05/2015,          46,      1
00:00:00 13/05/2015,         353,      1
00:00:00 14/05/2015,          92,      1
00:00:00 15/05/2015,         316,      1
00:00:00 16/05/2015,          40,      1
00:00:00 17/05/2015,          65,      1
00:00:00 18/05/2015,          71,      1
00:00:00 19/05/2015,           0,      1
00:00:00 20/05/2015,           2,      1
00:00:00 21/05/2015,         352,      1
00:00:00 22/05/2015,         317,      1
00:00:00 23/05/2015,         332,      1
00:00:00 24/05/2015,          91,      1
00:00:00 25/05/2015,         349,      1
00:00:00 26/05/2015,          83,      1
00:00:00 27/05/2015,         329,      1
00:00:00 28/05/2015,         353,      1
00:00:00 29/05/2015,         124,      1
00:00:00 30/05/2015,          43,      1
00:00:00 31/05/2015,          97,      1
00:00:00 01/06/2015,         109,      1
00:00:00 02/06/2015,          79,      1
00:00:00 03/06/2015,           1,      1
00:00:00 04/06/2015,          10,      1
00:00:00 05/06/2015,          61,      1
00:00:00 06/06/2015,          22,      1
00:00:00 07/06/2015,           8,      1
00:00:00 08/06/2015,         319,      1
00:00:00 09/06/2015,          25,      1
00:00:00 10/06/2015,          99,      1
00:00:00 11/06/2015,          68,      1
00:00:00 12/06/2015,          74,      1
00:00:00 13/06/2015,          78,      1
00:00:00 14/06/2015,         345,      1
00:00:00 15/06/2015,         324,      1
00:00:00 16/06/2015,         327,      1
00:00:00 17/06/2015,         337,      1
00:00:00 18/06/2015,         339,      1
00:00:00 19/06/2015,         333,      1
00:00:00 20/06/2015,         118,      1
00:00:00 21/06/2015,         339,      1
00:00:00 22/06/2015,         117,      1
00:00:00 23/06/2015,          79,      1
00:00:00 24/06/2015,         108,      1
00:00:00 25/06/2015,          80,      1
00:00:00 26/06/2015,          17,      1
00:00:00 27/06/2015,         357,      1
00:00:00 28/06/2015,         359,      1
00:00:00 29/06/2015,          17,      1
00:00:00 30/06/2015,         102,      1
00:00:00 01/07/2015,         100,      1
00:00:00 02/07/2015,          92,      1
00:00:00 03/07/2015,          41,      1
00:00:00 04/07/2015,          16,      1
00:00:00 05/07/2015,           2,      1
00:00:00 06/07/2015,          60,      1
00:00:00 07/07/2015,         120,      1
00:00:00 08/07/2015,          10,      1
00:00:00 09/07/2015,          78,      1
00:00:00 10/07/2015,          47,      1
00:00:00 11/07/2015,          87,      1
00:00:00 12/07/2015,          70,      1
00:00:00 13/07/2015,          63,      1
00:00:00 14/07/2015,         111,      1
00:00:00 15/07/2015,         118,      1
00:00:00 16/07/2015,          95,      1
00:00:00 17/07/2015,         323,      1
00:00:00 18/07/2015,         340,      1
00:00:00 19/07/2015,         115,      1
00:00:00 20/07/2015,          46,      1
00:00:00 21/07/2015,          80,      1
00:00:00 22/07/2015,          71,      1
00:00:00 23/07/2015,          46,      1
00:00:00 24/07/2015,          94,      1
00:00:00 25/07/2015,         132,      1
00:00:00 26/07/2015,         308,      1
00:00:00 27/07/2015,         107,      1
00:00:00 28/07/2015,         116,      1
00:00:00 29/07/2015,         330,      1
00:00:00 30/07/2015,         281,      1
00:00:00 31/07/2015,         262,      1
00:00:00 01/08/2015,          79,      1
00:00:00 02/08/2015,         287,      1
00:00:00 03/08/2015,          11,      1
00:00:00 04/08/2015,          25,      1
00:00:00 05/08/2015,          54,      1
00:00:00 06/08/2015,          83,      1
00:00:00 07/08/2015,          92,      1
00:00:00 08/08/2015,         345,      1
00:00:00 09/08/2015,          30,      1
00:00:00 10/08/2015,          10,      1
00:00:00 11/08/2015,          63,      1
00:00:00 12/08/2015,          39,      1
00:00:00 13/08/2015,          73,      1
00:00:00 14/08/2015,          22,      1
00:00:00 15/08/2015,           2,      1
00:00:00 16/08/2015,          25,      1
00:00:00 17/08/2015,         329,      1
00:00:00 18/08/2015,          54,    140
00:00:00 19/08/2015,          75,    140
00:00:00 20/08/2015,          75,    140
00:00:00 21/08/2015,          98,    140
00:00:00 22/08/2015,         112,      1
00:00:00 23/08/2015,          98,      1
00:00:00 24/08/2015,         337,      1
00:00:00 25/08/2015,          27,      1
00:00:00 26/08/2015,           4,      1
00:00:00 27/08/2015,          21,      1
00:00:00 28/08/2015,          19,      1
00:00:00 29/08/2015,          19,      1
00:00:00 30/08/2015,          61,      1
00:00:00 31/08/2015,          78,      1
00:00:00 01/09/2015,          81,      1
00:00:00 02/09/2015,          10,      1
00:00:00 03/09/2015,         330,      1
00:00:00 04/09/2015,         353,      1
00:00:00 05/09/2015,         325,      1
00:00:00 06/09/2015,         342,      1
00:00:00 07/09/2015,           7,      1
00:00:00 08/09/2015,          58,      1
00:00:00 09/09/2015,         146,      1
00:00:00 10/09/2015,          60,      1
00:00:00 11/09/2015,         333,      1
00:00:00 12/09/2015,           9,      1
00:00:00 13/09/2015,         339,      1
00:00:00 14/09/2015,         123,    140
00:00:00 15/09/2015,         121,    140
00:00:00 16/09/2015,         358,    140
00:00:00 17/09/2015,          96,    140
00:00:00 18/09/2015,         109,    140
00:00:00 19/09/2015,         355,      1
00:00:00 20/09/2015,         322,      1
00:00:00 21/09/2015,          25,      1
00:00:00 22/09/2015,           8,      1
00:00:00 23/09/2015,         324,      1
00:00:00 24/09/2015,         334,      1
00:00:00 25/09/2015,         354,      1
00:00:00 26/09/2015,          10,      1
00:00:00 27/09/2015,         326,      1
00:00:00 28/09/2015,         320,      1
00:00:00 29/09/2015,         330,      1
00:00:00 30/09/2015,         332,      1
00:00:00 01/10/2015,         326,      1
00:00:00 02/10/2015,         327,      1
00:00:00 03/10/2015,         352,      1
00:00:00 04/10/2015,          48,      1
00:00:00 05/10/2015,         357,      1
00:00:00 06/10/2015,         327,      1
00:00:00 07/10/2015,          31,      1
00:00:00 08/10/2015,          71,      1
00:00:00 09/10/2015,           1,      1
00:00:00 10/10/2015,          26,      1
00:00:00 11/10/2015,           1,      1
00:00:00 12/10/2015,          54,      1
00:00:00 13/10/2015,         344,      1
00:00:00 14/10/2015,         324,      1
00:00:00 15/10/2015,         330,      1
00:00:00 16/10/2015,         317,      1
00:00:00 17/10/2015,         323,      1
00:00:00 18/10/2015,         328,      1
00:00:00 19/10/2015,         337,      1
00:00:00 20/10/2015,           5,      1
00:00:00 21/10/2015,          10,      1
00:00:00 22/10/2015,          34,      1
00:00:00 23/10/2015,          62,      1
00:00:00 24/10/2015,           3,      1
00:00:00 25/10/2015,          14,      1
00:00:00 26/10/2015,          17,      1
00:00:00 27/10/2015,          12,      1
00:00:00 28/10/2015,         314,      1
00:00:00 29/10/2015,         317,      1
00:00:00 30/10/2015,           4,      1
00:00:00 31/10/2015,           8,      1
00:00:00 01/11/2015,          15,      1
00:00:00 02/11/2015,          15,      1
00:00:00 03/11/2015,           8,      1
00:00:00 04/11/2015,         352,      1
00:00:00 05/11/2015,          13,      1
00:00:00 06/11/2015,         360,      1
00:00:00 07/11/2015,         356,      1
00:00:00 08/11/2015,         355,      1
00:00:00 09/11/2015,           6,      1
00:00:00 10/11/2015,           4,      1
00:00:00 11/11/2015,          10,      1
00:00:00 12/11/2015,           4,      1
00:00:00 13/11/2015,          13,      1
00:00:00 14/11/2015,          60,      1
00:00:00 15/11/2015,         349,      1
00:00:00 16/11/2015,           4,      1
00:00:00 17/11/2015,          54,      1
00:00:00 18/11/2015,          24,      1
00:00:00 19/11/2015,          31,      1
00:00:00 20/11/2015,          21,      1
00:00:00 21/11/2015,           2,      1
00:00:00 22/11/2015,         332,      1
00:00:00 23/11/2015,         359,      1
00:00:00 24/11/2015,          10,      1
00:00:00 25/11/2015,         334,      1
00:00:00 26/11/2015,         343,      1
00:00:00 27/11/2015,           4,      1
00:00:00 28/11/2015,         354,      1
00:00:00 29/11/2015,          23,      1
00:00:00 30/11/2015,          28,      1
00:00:00 01/12/2015,         350,      1
00:00:00 02/12/2015,          25,      1
00:00:00 03/12/2015,           1,      1
00:00:00 04/12/2015,          25,      1
00:00:00 05/12/2015,           9,      1
00:00:00 06/12/2015,          11,      1
00:00:00 07/12/2015,         354,      1
00:00:00 08/12/2015,         349,      1
00:00:00 09/12/2015,           1,      1
00:00:00 10/12/2015,         359,      1
00:00:00 11/12/2015,         359,      1
00:00:00 12/12/2015,          15,      1
00:00:00 13/12/2015,         359,      1
00:00:00 14/12/2015,           4,      1
00:00:00 15/12/2015,         347,      1
00:00:00 16/12/2015,         351,      1
00:00:00 17/12/2015,          11,      1
00:00:00 18/12/2015,           2,      1
00:00:00 19/12/2015,         359,      1
00:00:00 20/12/2015,           2,      1
00:00:00 21/12/2015,         357,      1
00:00:00 22/12/2015,         358,      1
00:00:00 23/12/2015,          20,      1
00:00:00 24/12/2015,           9,      1
00:00:00 25/12/2015,         360,      1
00:00:00 26/12/2015,         356,      1
00:00:00 27/12/2015,           0,      1
00:00:00 28/12/2015,         356,      1
00:00:00 29/12/2015,           5,      1
00:00:00 30/12/2015,          37,      1
00:00:00 31/12/2015,         326,      1
00:00:00 01/01/2016,          48,      1
00:00:00 02/01/2016,         357,      1
00:00:00 03/01/2016,          53,      1
00:00:00 04/01/2016,         103,      1
00:00:00 05/01/2016,         340,      1
00:00:00 06/01/2016,         353,      1
00:00:00 07/01/2016,         356,      1
00:00:00 08/01/2016,         354,      1
00:00:00 09/01/2016,         320,      1
00:00:00 10/01/2016,         322,      1
00:00:00 11/01/2016,          37,      1
00:00:00 12/01/2016,         354,      1
00:00:00 13/01/2016,         356,      1
00:00:00 14/01/2016,           9,      1
00:00:00 15/01/2016,         350,      1
00:00:00 16/01/2016,           3,      1
00:00:00 17/01/2016,         355,      1
00:00:00 18/01/2016,         347,      1
00:00:00 19/01/2016,           5,      1
00:00:00 20/01/2016,           2,      1
00:00:00 21/01/2016,          34,      1
00:00:00 22/01/2016,         351,      1
00:00:00 23/01/2016,         354,      1
00:00:00 24/01/2016,          26,      1
00:00:00 25/01/2016,          14,      1
00:00:00 26/01/2016,           5,      1
00:00:00 27/01/2016,           5,      1
00:00:00 28/01/2016,         344,      1
00:00:00 29/01/2016,           3,      1
00:00:00 30/01/2016,         337,      1
00:00:00 31/01/2016,          33,      1
00:00:00 01/02/2016,          13,      1
00:00:00 02/02/2016,         355,      1
00:00:00 03/02/2016,          48,      1
00:00:00 04/02/2016,          85,      1
00:00:00 05/02/2016,          60,      1
00:00:00 06/02/2016,          33,      1
00:00:00 07/02/2016,         320,      1
00:00:00 08/02/2016,         317,      1
00:00:00 09/02/2016,          66,      1
00:00:00 10/02/2016,         336,      1
00:00:00 11/02/2016,         356,      1
00:00:00 12/02/2016,         330,      1
00:00:00 13/02/2016,          18,      1
00:00:00 14/02/2016,         339,      1
00:00:00 15/02/2016,         360,      1
00:00:00 16/02/2016,          48,      1
00:00:00 17/02/2016,          55,      1
00:00:00 18/02/2016,         359,      1
00:00:00 19/02/2016,         347,      1
00:00:00 20/02/2016,         336,      1
00:00:00 21/02/2016,           3,      1
00:00:00 22/02/2016,          20,      1
00:00:00 23/02/2016,         338,      1
00:00:00 24/02/2016,         323,      1
00:00:00 25/02/2016,         354,      1
00:00:00 26/02/2016,          13,      1
00:00:00 27/02/2016,         320,      1
00:00:00 28/02/2016,          18,      1
00:00:00 29/02/2016,          38,      1
00:00:00 01/03/2016,         337,      1
00:00:00 02/03/2016,          12,      1
00:00:00 03/03/2016,           0,      1
00:00:00 04/03/2016,           1,      1
00:00:00 05/03/2016,         331,      1
00:00:00 06/03/2016,         335,      1
00:00:00 07/03/2016,         308,      1
00:00:00 08/03/2016,          19,      1
00:00:00 09/03/2016,         334,      1
00:00:00 10/03/2016,         348,      1
00:00:00 11/03/2016,           6,      1
00:00:00 12/03/2016,           6,      1
00:00:00 13/03/2016,         359,      1
00:00:00 14/03/2016,          10,      1
00:00:00 15/03/2016,         297,      1
00:00:00 16/03/2016,         320,      1
00:00:00 17/03/2016,         337,      1
00:00:00 18/03/2016,         353,      1
00:00:00 19/03/2016,           5,      1
00:00:00 20/03/2016,          18,      1
00:00:00 21/03/2016,          13,      1
00:00:00 22/03/2016,         330,      1
00:00:00 23/03/2016,           4,      1
00:00:00 24/03/2016,         348,      1
00:00:00 25/03/2016,          21,      1
00:00:00 26/03/2016,         359,      1
00:00:00 27/03/2016,          31,      1
00:00:00 28/03/2016,           7,      1
00:00:00 29/03/2016,         140,      1
00:00:00 30/03/2016,          93,      1
00:00:00 31/03/2016,          18,      1
00:00:00 01/04/2016,           1,      1
00:00:00 02/04/2016,          20,      1
00:00:00 03/04/2016,           3,      1
00:00:00 04/04/2016,          48,      1
00:00:00 05/04/2016,          48,      1
00:00:00 06/04/2016,           3,      1
00:00:00 07/04/2016,         323,      1
00:00:00 08/04/2016,         324,      1
00:00:00 09/04/2016,         317,      1
00:00:00 10/04/2016,         333,      1
00:00:00 11/04/2016,          92,      1
00:00:00 12/04/2016,         100,      1
00:00:00 13/04/2016,         100,      1
00:00:00 14/04/2016,         304,      1
00:00:00 15/04/2016,         142,      1
00:00:00 16/04/2016,         154,      1
00:00:00 17/04/2016,         132,      1
00:00:00 18/04/2016,         323,      1
00:00:00 19/04/2016,         319,      1
00:00:00 20/04/2016,           4,      1
00:00:00 21/04/2016,           1,      1
00:00:00 22/04/2016,         124,      1
00:00:00 23/04/2016,         305,      1
00:00:00 24/04/2016,         327,      1
00:00:00 25/04/2016,         328,      1
00:00:00 26/04/2016,         126,      1
00:00:00 27/04/2016,          53,      1
00:00:00 28/04/2016,         340,      1
00:00:00 29/04/2016,          77,      1
00:00:00 30/04/2016,         129,      1
00:00:00 01/05/2016,         353,      1
00:00:00 02/05/2016,           4,      1
00:00:00 03/05/2016,         331,      1
00:00:00 04/05/2016,         323,      1
00:00:00 05/05/2016,         349,      1
00:00:00 06/05/2016,          71,      1
00:00:00 07/05/2016,          66,      1
00:00:00 08/05/2016,         125,      1
00:00:00 09/05/2016,         127,      1
00:00:00 10/05/2016,          43,      1
00:00:00 11/05/2016,          18,      1
00:00:00 12/05/2016,         341,      1
00:00:00 13/05/2016,         343,      1
00:00:00 14/05/2016,          50,      1
00:00:00 15/05/2016,         307,      1
00:00:00 16/05/2016,          62,      1
00:00:00 17/05/2016,          63,      1
00:00:00 18/05/2016,         102,      1
00:00:00 19/05/2016,         357,      1
00:00:00 20/05/2016,         355,      1
00:00:00 21/05/2016,         357,      1
00:00:00 22/05/2016,         118,      1
00:00:00 23/05/2016,          38,      1
00:00:00 24/05/2016,         307,      1
00:00:00 25/05/2016,         358,      1
00:00:00 26/05/2016,         347,      1
00:00:00 27/05/2016,           8,      1
00:00:00 28/05/2016,         121,      1
00:00:00 29/05/2016,          11,      1
00:00:00 30/05/2016,         352,      1
00:00:00 31/05/2016,          48,      1
00:00:00 01/06/2016,          65,      1
00:00:00 02/06/2016,         134,      1
00:00:00 03/06/2016,         211,      1
00:00:00 04/06/2016,         319,      1
00:00:00 05/06/2016,           5,      1
00:00:00 06/06/2016,          58,      1
00:00:00 07/06/2016,          78,      1
00:00:00 08/06/2016,          41,      1
00:00:00 09/06/2016,         347,      1
00:00:00 10/06/2016,          83,      1
00:00:00 11/06/2016,          64,      1
00:00:00 12/06/2016,           4,      1
00:00:00 13/06/2016,          16,    140
00:00:00 14/06/2016,          17,    140
00:00:00 15/06/2016,          17,    140
00:00:00 16/06/2016,          17,    140
00:00:00 17/06/2016,          17,    140
00:00:00 18/06/2016,          17,    140
00:00:00 19/06/2016,          17,    140
00:00:00 20/06/2016,          45,    140
00:00:00 21/06/2016,          40,      1
00:00:00 22/06/2016,           7,      1
00:00:00 23/06/2016,          13,      1
00:00:00 24/06/2016,          14,      1
00:00:00 25/06/2016,          17,      1
00:00:00 26/06/2016,         354,      1
00:00:00 27/06/2016,         333,      1
00:00:00 28/06/2016,          72,      1
00:00:00 29/06/2016,         110,      1
00:00:00 30/06/2016,          27,      1
00:00:00 01/07/2016,         332,      1
00:00:00 02/07/2016,          31,      1
00:00:00 03/07/2016,         343,      1
00:00:00 04/07/2016,          96,      1
00:00:00 05/07/2016,          38,      1
00:00:00 06/07/2016,         358,      1
00:00:00 07/07/2016,          30,      1
00:00:00 08/07/2016,          90,      1
00:00:00 09/07/2016,         355,      1
00:00:00 10/07/2016,          14,      1
00:00:00 11/07/2016,          53,      1
00:00:00 12/07/2016,         315,      1
00:00:00 13/07/2016,         323,      1
00:00:00 14/07/2016,         316,      1
00:00:00 15/07/2016,         350,      1
00:00:00 16/07/2016,         330,      1
00:00:00 17/07/2016,         341,      1
00:00:00 18/07/2016,         360,      1
00:00:00 19/07/2016,         360,      1
00:00:00 20/07/2016,          10,      1
00:00:00 21/07/2016,         354,      1
00:00:00 22/07/2016,         321,    140
00:00:00 23/07/2016,         319,    140
00:00:00 24/07/2016,         319,    140
00:00:00 25/07/2016,         319,    140
00:00:00 26/07/2016,         318,    140
00:00:00 27/07/2016,         357,      1
00:00:00 28/07/2016,         337,      1
00:00:00 29/07/2016,         356,      1
00:00:00 30/07/2016,          99,      1
00:00:00 31/07/2016,         329,      1
00:00:00 01/08/2016,         336,      1
00:00:00 02/08/2016,         353,      1
00:00:00 03/08/2016,          19,      1
00:00:00 04/08/2016,         118,      1
00:00:00 05/08/2016,         309,      1
00:00:00 06/08/2016,         318,      1
00:00:00 07/08/2016,         342,      1
00:00:00 08/08/2016,         358,      1
00:00:00 09/08/2016,         345,      1
00:00:00 10/08/2016,         317,      1
00:00:00 11/08/2016,         346,      1
00:00:00 12/08/2016,         340,      1
00:00:00 13/08/2016,           8,      1
00:00:00 14/08/2016,           9,      1
00:00:00 15/08/2016,         336,      1
00:00:00 16/08/2016,         357,      1
00:00:00 17/08/2016,          53,      1
00:00:00 18/08/2016,          71,      1
00:00:00 19/08/2016,         350,      1
00:00:00 20/08/2016,         355,      1
00:00:00 21/08/2016,         317,    140
00:00:00 22/08/2016,         322,    140
00:00:00 23/08/2016,          24,      1
00:00:00 24/08/2016,          24,      1
00:00:00 25/08/2016,           7,      1
00:00:00 26/08/2016,          99,      1
00:00:00 27/08/2016,          64,      1
00:00:00 28/08/2016,          51,      1
00:00:00 29/08/2016,           1,      1
00:00:00 30/08/2016,         352,      1
00:00:00 31/08/2016,           1,      1
00:00:00 01/09/2016,           2,      1
00:00:00 02/09/2016,          13,      1
00:00:00 03/09/2016,         349,      1
00:00:00 04/09/2016,         344,      1
00:00:00 05/09/2016,         331,      1
00:00:00 06/09/2016,         348,      1
00:00:00 07/09/2016,          43,      1
00:00:00 08/09/2016,          18,      1
00:00:00 09/09/2016,          37,      1
00:00:00 10/09/2016,          52,      1
00:00:00 11/09/2016,          13,      1
00:00:00 12/09/2016,          10,      1
00:00:00 13/09/2016,          63,      1
00:00:00 14/09/2016,          59,      1
00:00:00 15/09/2016,          56,      1
00:00:00 16/09/2016,          28,      1
00:00:00 17/09/2016,         341,      1
00:00:00 18/09/2016,          10,      1
00:00:00 19/09/2016,         338,      1
00:00:00 20/09/2016,          14,      1
00:00:00 21/09/2016,         339,      1
